"name","gender","income"
"Christian Bryant","Female","17500"
"Christian Bryant","Female","17500"
"Christian Bryant","Female","17500"
"Cynthia Moore","Female","17500"
"James Ward","Male","50000"
"James Ward","Male","50000"
"James Ward","Male","50000"
"George Jackson","Male","17500"
"George Jackson","Male","17500"
"George Jackson","Male","17500"
"Ryan Tucker","Female","50000"
"Ryan Tucker","Female","50000"
"Ryan Tucker","Female","50000"
"Ryan Tucker","Female","50000"
"Brandon Sanchez","Female","17500"
"Valerie Navarro","Female","37500"
"Valerie Navarro","Female","37500"
"Benjamin Brewer","Male","17500"
"Benjamin Brewer","Male","17500"
"Taylor Beltran","Male","17500"
"Timothy Wilcox","Female","37500"
"Timothy Wilcox","Female","37500"
"Timothy Wilcox","Female","37500"
"Timothy Wilcox","Female","37500"
"Sheri Browning DDS","Male","37500"
"Sheri Browning DDS","Male","37500"
"Sheri Browning DDS","Male","37500"
"Courtney Page","Female","17500"
"Courtney Page","Female","17500"
"Courtney Page","Female","17500"
"Melissa Gilbert","Female","17500"
"Jennifer Douglas","Male","37500"
"Jennifer Douglas","Male","37500"
"Jennifer Douglas","Male","37500"
"Jennifer Douglas","Male","37500"
"Kyle Allen","Male","50000"
"Kyle Allen","Male","50000"
"Herbert Watkins","Male","17500"
"Herbert Watkins","Male","17500"
"Herbert Watkins","Male","17500"
"Christopher Delacruz","Female","37500"
"Christopher Delacruz","Female","37500"
"Christopher Delacruz","Female","37500"
"Christopher Santana","Male","50000"
"Kenneth Williams","Female","37500"
"Chad Wells DVM","Male","37500"
"Chad Wells DVM","Male","37500"
"Chad Wells DVM","Male","37500"
"Stephen Holder","Female","50000"
"Harry Smith","Male","37500"
"Harry Smith","Male","37500"
"Harry Smith","Male","37500"
"Harry Smith","Male","37500"
"Olivia Richmond","Male","50000"
"Mary Patel","Female","37500"
"Lance Rogers","Male","50000"
"Kathleen Perkins","Female","50000"
"Kathleen Perkins","Female","50000"
"Kathleen Perkins","Female","50000"
"Kathleen Perkins","Female","50000"
"Kathleen Perkins","Female","50000"
"Stephanie Scott","Female","37500"
"Stephanie Scott","Female","37500"
"Stephanie Scott","Female","37500"
"Matthew Burton","Male","37500"
"Charles Dixon","Male","50000"
"Charles Dixon","Male","50000"
"Charles Dixon","Male","50000"
"Mark Lowery","Female","50000"
"Mark Lowery","Female","50000"
"Mark Lowery","Female","50000"
"Mark Lowery","Female","50000"
"Elizabeth Kramer","Male","17500"
"Elizabeth Kramer","Male","17500"
"Andre Gonzalez","Male","17500"
"Roberto Murray","Male","50000"
"Roberto Murray","Male","50000"
"Roberto Murray","Male","50000"
"Shirley Moyer","Male","37500"
"Shirley Moyer","Male","37500"
"Steven Elliott","Male","50000"
"Steven Elliott","Male","50000"
"Steven Elliott","Male","50000"
"Nicole Gonzalez","Male","17500"
"Lisa Jones","Male","37500"
"Lisa Jones","Male","37500"
"Christopher Mendoza","Female","37500"
"Christian Hall","Male","50000"
"Christian Hall","Male","50000"
"Christian Hall","Male","50000"
"Heidi Lee","Male","50000"
"Nicholas Bell","Male","50000"
"Eric Johnson MD","Female","37500"
"Eric Johnson MD","Female","37500"
"Eric Johnson MD","Female","37500"
"Jennifer Orr","Female","50000"
"Jennifer Orr","Female","50000"
"Bonnie Smith","Female","37500"
"David Caldwell","Male","50000"
"Daniel Bryant","Male","17500"
"Daniel Bryant","Male","17500"
"Donna Jones","Female","37500"
"Donna Jones","Female","37500"
"David Olson DDS","Male","37500"
"Sara Austin","Female","50000"
"Sara Austin","Female","50000"
"Michael Green","Male","37500"
"Michael Green","Male","37500"
"Leon Poole","Female","50000"
"Christina Allen","Male","50000"
"Christina Allen","Male","50000"
"Christina Allen","Male","50000"
"Angela Baker","Female","37500"
"Andrew Houston","Male","37500"
"Nicole Peterson","Male","50000"
"Nicole Peterson","Male","50000"
"Katrina Wright","Female","37500"
"Joshua Schneider","Male","37500"
"Heather Greene","Male","17500"
"Heather Greene","Male","17500"
"Aaron Bowman","Female","17500"
"Spencer Bowman","Male","17500"
"Benjamin Brown","Male","37500"
"Benjamin Brown","Male","37500"
"Benjamin Brown","Male","37500"
"Courtney Lucas","Female","37500"
"Anthony Nash","Male","17500"
"Larry Melton","Male","50000"
"David Hunter","Male","17500"
"David Lopez","Male","37500"
"Daniel Russell","Male","50000"
"Carol Martinez","Female","37500"
"Brandon Melton","Male","50000"
"Brandon Melton","Male","50000"
"Brandon Melton","Male","50000"
"Melissa Johnson","Male","50000"
"Melissa Johnson","Male","50000"
"April Fisher MD","Male","37500"
"Angel Wood","Male","37500"
"Lauren Mccall","Male","50000"
"Heather White","Male","37500"
"Yvonne Smith","Male","50000"
"Richard Murray","Male","50000"
"Richard Murray","Male","50000"
"David Adams","Female","37500"
"David Adams","Female","37500"
"David Adams","Female","37500"
"David Adams","Female","37500"
"Albert Wilson","Male","17500"
"Dawn Payne","Male","50000"
"Dawn Payne","Male","50000"
"Dawn Payne","Male","50000"
"Don Martinez","Female","37500"
"Timothy Thomas","Male","50000"
"Timothy Thomas","Male","50000"
"Roger Walters","Female","17500"
"Andrew Todd","Male","50000"
"Darren Marks","Male","17500"
"Darren Marks","Male","17500"
"Darren Marks","Male","17500"
"Darren Marks","Male","17500"
"Ashley Cross","Female","37500"
"Tyler Klein","Male","37500"
"Tyler Klein","Male","37500"
"Tammy Taylor","Male","17500"
"Jermaine Kane","Male","37500"
"Jermaine Kane","Male","37500"
"Troy Harris","Male","50000"
"Manuel Porter","Male","50000"
"Sergio Hernandez","Female","17500"
"Sergio Hernandez","Female","17500"
"Michele Salinas","Female","17500"
"Michele Salinas","Female","17500"
"Michele Salinas","Female","17500"
"Michele Salinas","Female","17500"
"Michele Salinas","Female","17500"
"Penny Robinson","Female","37500"
"Penny Robinson","Female","37500"
"Timothy Bauer","Female","37500"
"Timothy Bauer","Female","37500"
"Timothy Bauer","Female","37500"
"James Branch","Female","50000"
"James Branch","Female","50000"
"Cynthia Logan","Female","37500"
"Dana Rios","Male","37500"
"Daniel Ford","Female","50000"
"Daniel Ford","Female","50000"
"Kristin Martinez","Female","50000"
"Kristin Martinez","Female","50000"
"Kristin Martinez","Female","50000"
"Christie Gomez","Male","50000"
"Jeremiah Floyd","Female","17500"
"Jeremiah Floyd","Female","17500"
"Willie Schmidt","Female","37500"
"Willie Schmidt","Female","37500"
"Thomas Griffin","Male","50000"
"Janet Curtis DDS","Male","50000"
"Janet Curtis DDS","Male","50000"
"James Washington","Male","37500"
"James Washington","Male","37500"
"Candace Griffin","Male","37500"
"Candace Griffin","Male","37500"
"Candace Griffin","Male","37500"
"Candace Griffin","Male","37500"
"Michael Navarro","Male","50000"
"Michael Navarro","Male","50000"
"Michael Navarro","Male","50000"
"Jeffrey Cunningham","Female","37500"
"Joshua Rice","Male","50000"
"Colleen Webb","Male","37500"
"Colleen Webb","Male","37500"
"Joseph Hernandez","Male","50000"
"Joseph Hernandez","Male","50000"
"Joseph Hernandez","Male","50000"
"Stephen Harris","Female","37500"
"Cody Knapp","Male","37500"
"Jessica Benson","Male","17500"
"Crystal Harris","Female","17500"
"Crystal Harris","Female","17500"
"Charles Holmes","Male","17500"
"Sabrina Evans","Male","37500"
"James Price","Male","17500"
"Kenneth Daniel","Female","37500"
"Gina Marks","Male","50000"
"Gina Marks","Male","50000"
"Stephanie Thomas","Male","50000"
"Kelly Calhoun","Male","17500"
"Kelly Calhoun","Male","17500"
"Howard Davidson","Female","17500"
"Howard Davidson","Female","17500"
"Megan Benton","Male","37500"
"Megan Benton","Male","37500"
"Stuart Peterson","Male","50000"
"Vanessa Cook","Female","37500"
"Vanessa Cook","Female","37500"
"Vanessa Cook","Female","37500"
"Shawn Stark","Male","50000"
"Gary Mccoy","Male","50000"
"Gary Mccoy","Male","50000"
"Aaron Massey","Male","37500"
"Gwendolyn Holmes","Male","37500"
"Bryan Jackson","Male","37500"
"Frank Adams","Male","50000"
"Frank Adams","Male","50000"
"Mark Mitchell","Female","50000"
"Mark Mitchell","Female","50000"
"Mark Mitchell","Female","50000"
"Roger Dorsey","Female","50000"
"Bryan Wang","Female","37500"
"Jeffrey Long","Female","17500"
"Cody Parker","Female","17500"
"Matthew Paul","Male","50000"
"Matthew Paul","Male","50000"
"Erika Scott","Female","17500"
"Chris Hill","Male","17500"
"Tamara Pittman","Male","50000"
"Tamara Pittman","Male","50000"
"Tamara Pittman","Male","50000"
"James Khan","Female","17500"
"Rebecca Johnson","Male","50000"
"Adam Wright","Male","37500"
"Jacqueline Smith","Male","17500"
"James Aguilar","Female","50000"
"James Aguilar","Female","50000"
"Michael Richardson","Female","17500"
"Michael Richardson","Female","17500"
"Michael Richardson","Female","17500"
"Paul Santana","Female","37500"
"Paul Santana","Female","37500"
"Paul Santana","Female","37500"
"Paul Santana","Female","37500"
"Elizabeth Rowe","Male","17500"
"Sara Peterson","Male","17500"
"Joshua Mckinney","Female","37500"
"Joshua Mckinney","Female","37500"
"Joshua Mckinney","Female","37500"
"Joshua Mckinney","Female","37500"
"Joshua Mckinney","Female","37500"
"Dustin Cross","Male","17500"
"Dustin Cross","Male","17500"
"Dustin Cross","Male","17500"
"Gwendolyn Potter","Male","37500"
"Gwendolyn Potter","Male","37500"
"Isaac Scott","Female","17500"
"Isaac Scott","Female","17500"
"Jennifer Thompson","Female","17500"
"Michael Brown","Male","37500"
"Michael Brown","Male","37500"
"Michael Brown","Male","37500"
"Katherine Park","Male","50000"
"Stephanie Russell","Male","50000"
"Anne Cook","Female","37500"
"Anne Cook","Female","37500"
"Joanna Weaver","Male","50000"
"Tracy Watson","Male","37500"
"Tracy Watson","Male","37500"
"Brian Morris","Female","50000"
"Brian Morris","Female","50000"
"Brian Morris","Female","50000"
"Brian Morris","Female","50000"
"Nicholas Summers","Male","37500"
"Nicholas Summers","Male","37500"
"Mark Greene","Female","37500"
"Mark Greene","Female","37500"
"Levi Jones","Male","50000"
"Levi Jones","Male","50000"
"Levi Jones","Male","50000"
"Levi Jones","Male","50000"
"Kenneth Gibson","Female","37500"
"Charles Meyers","Male","50000"
"Charles Meyers","Male","50000"
"Natalie Sanchez","Female","37500"
"Natalie Sanchez","Female","37500"
"Natalie Sanchez","Female","37500"
"Natalie Sanchez","Female","37500"
"Mario Berger","Male","37500"
"Mario Berger","Male","37500"
"Mario Berger","Male","37500"
"Jacob Landry","Male","50000"
"Jacob Landry","Male","50000"
"Jacob Landry","Male","50000"
"Jacob Landry","Male","50000"
"Shannon White","Female","50000"
"John Elliott","Male","37500"
"John Elliott","Male","37500"
"David Fisher","Male","17500"
"David Fisher","Male","17500"
"David Fisher","Male","17500"
"David Fisher","Male","17500"
"Derrick Meyer","Male","50000"
"Jennifer Reyes","Male","17500"
"Andre Lang","Male","50000"
"Gregory Hansen","Female","17500"
"Amanda Jordan","Male","37500"
"Amanda Jordan","Male","37500"
"Tina Burns","Male","50000"
"Tina Burns","Male","50000"
"Leah Wright","Male","17500"
"Rachel Jordan","Male","50000"
"Veronica Carter","Male","50000"
"Veronica Carter","Male","50000"
"Joanna Lynch","Female","17500"
"Meredith Mitchell","Male","50000"
"Meredith Mitchell","Male","50000"
"Louis Jackson","Female","37500"
"Charles James","Female","50000"
"Andrew Arnold","Female","37500"
"Janice Cannon","Male","50000"
"Kevin Wilson","Male","17500"
"Kevin Wilson","Male","17500"
"Mr. Matthew Buchanan","Female","37500"
"Barry Mccoy","Male","50000"
"Gregory Reynolds","Male","37500"
"Benjamin Long","Male","37500"
"Anthony Curtis","Female","50000"
"Anthony Curtis","Female","50000"
"Rhonda Wong","Female","37500"
"Rhonda Wong","Female","37500"
"Ryan Ward","Male","50000"
"Joanne Singleton","Male","37500"
"Julie Mercado","Male","50000"
"Nathaniel Kane","Female","37500"
"Nathaniel Kane","Female","37500"
"Nathaniel Kane","Female","37500"
"Nathaniel Kane","Female","37500"
"Hannah Williams","Male","37500"
"Hannah Williams","Male","37500"
"Matthew Peterson","Female","17500"
"Matthew Peterson","Female","17500"
"Matthew Peterson","Female","17500"
"Teresa Robertson","Male","17500"
"Teresa Robertson","Male","17500"
"Teresa Robertson","Male","17500"
"Teresa Robertson","Male","17500"
"Henry Clark","Male","37500"
"Kenneth Fitzgerald","Male","17500"
"Brooke Miller","Female","37500"
"Mr. Robert Wade","Male","17500"
"Kelly Cox","Male","50000"
"Kelly Cox","Male","50000"
"Kelly Cox","Male","50000"
"Melissa Pineda","Male","17500"
"Ellen Russell","Female","17500"
"Steven Shepard","Male","37500"
"Steven Shepard","Male","37500"
"Steven Shepard","Male","37500"
"Steven Shepard","Male","37500"
"Dylan Gutierrez","Male","50000"
"Laurie Smith","Female","37500"
"Laurie Smith","Female","37500"
"Laurie Smith","Female","37500"
"William Rodriguez","Male","50000"
"Chad Howard","Male","50000"
"Chad Howard","Male","50000"
"Chad Howard","Male","50000"
"Stephanie Robinson","Male","37500"
"Stephanie Robinson","Male","37500"
"Eric Barber","Male","37500"
"Sandra Bernard","Male","50000"
"Clayton Franklin","Male","37500"
"Clayton Franklin","Male","37500"
"Daniel Boyd","Male","50000"
"Sheila Spencer","Male","50000"
"Sheila Spencer","Male","50000"
"Sheila Spencer","Male","50000"
"Amy Williams","Female","37500"
"Amy Williams","Female","37500"
"Amy Williams","Female","37500"
"Cassandra Cox","Male","17500"
"Stephanie Gibson","Male","50000"
"Sandra Woods","Male","37500"
"Kevin Alexander Jr.","Female","37500"
"Timothy Perry","Female","37500"
"Timothy Perry","Female","37500"
"Randy Wagner","Female","17500"
"Theresa Wells","Male","50000"
"Theresa Wells","Male","50000"
"Mrs. Sandra Peterson DVM","Female","37500"
"Mrs. Sandra Peterson DVM","Female","37500"
"Christopher Williams","Male","17500"
"Shelby Archer","Female","37500"
"Shelby Archer","Female","37500"
"Darren Greene","Male","37500"
"Darren Greene","Male","37500"
"Darren Greene","Male","37500"
"Alicia Butler","Female","17500"
"Alicia Butler","Female","17500"
"Jacob Walker","Female","17500"
"Jacob Walker","Female","17500"
"Jacob Walker","Female","17500"
"Amber Chang","Female","17500"
"Amber Chang","Female","17500"
"Amber Chang","Female","17500"
"Lauren Brown","Female","37500"
"Lauren Brown","Female","37500"
"Jennifer Baker","Female","50000"
"Jennifer Baker","Female","50000"
"Jennifer Baker","Female","50000"
"Joshua Petersen","Female","37500"
"Joshua Sawyer","Female","50000"
"Joshua Sawyer","Female","50000"
"Joshua Sawyer","Female","50000"
"Meghan Garrison","Male","17500"
"Meghan Garrison","Male","17500"
"Sean Christensen","Male","37500"
"Sean Christensen","Male","37500"
"Sean Christensen","Male","37500"
"Jared Myers","Female","50000"
"Jared Myers","Female","50000"
"Alan Morris","Male","50000"
"Alan Morris","Male","50000"
"Richard Huber","Male","17500"
"Molly Duke","Female","17500"
"Molly Duke","Female","17500"
"Molly Duke","Female","17500"
"Erica Martin","Male","37500"
"Julia Allen","Male","50000"
"Julia Allen","Male","50000"
"Jose Carlson","Female","37500"
"Jose Carlson","Female","37500"
"Jose Carlson","Female","37500"
"Kaylee Johnson","Male","50000"
"Michael Maldonado","Male","37500"
"Denise Gonzalez","Male","37500"
"Denise Gonzalez","Male","37500"
"Benjamin Daniels","Male","50000"
"Suzanne Jones","Female","37500"
"Suzanne Jones","Female","37500"
"Suzanne Jones","Female","37500"
"Kristina Johnson","Male","37500"
"Kristina Johnson","Male","37500"
"Kristina Johnson","Male","37500"
"Lisa Miller","Male","50000"
"Lisa Miller","Male","50000"
"Lisa Miller","Male","50000"
"Cindy Dunn","Female","37500"
"Cindy Dunn","Female","37500"
"Cindy Dunn","Female","37500"
"Joseph Savage MD","Female","17500"
"Joseph Savage MD","Female","17500"
"Jackie Stark","Male","37500"
"Kevin Mcclain","Male","17500"
"Kevin Mcclain","Male","17500"
"Charles Hill","Female","37500"
"Vanessa Armstrong","Male","50000"
"Vanessa Armstrong","Male","50000"
"Lisa Miranda","Male","50000"
"Sarah Miller","Female","37500"
"Sarah Miller","Female","37500"
"Craig Escobar","Male","37500"
"Craig Escobar","Male","37500"
"Shelby Travis","Female","17500"
"Christopher Russell","Male","37500"
"Christopher Russell","Male","37500"
"Christopher Russell","Male","37500"
"Christopher Russell","Male","37500"
"Christopher Russell","Male","37500"
"Nicole Gibson","Male","50000"
"John Castillo","Female","37500"
"John Castillo","Female","37500"
"Frank Travis","Male","50000"
"Frank Travis","Male","50000"
"Miguel Barrett","Male","50000"
"Miguel Barrett","Male","50000"
"Miguel Barrett","Male","50000"
"Elizabeth Glass PhD","Male","37500"
"Mike Sims","Male","37500"
"Mike Sims","Male","37500"
"Michael Bender","Male","50000"
"Christopher Rodriguez","Male","37500"
"Christopher Rodriguez","Male","37500"
"Melissa Mitchell","Male","50000"
"Melissa Mitchell","Male","50000"
"Katie Jones","Female","37500"
"Samantha Jennings","Female","50000"
"Samantha Jennings","Female","50000"
"Suzanne Carpenter","Female","50000"
"Courtney Adams","Female","17500"
"Courtney Adams","Female","17500"
"Leah Lopez","Female","17500"
"Leah Lopez","Female","17500"
"Jesus Pena","Female","17500"
"Jennifer Lee","Male","50000"
"Jennifer Lee","Male","50000"
"Thomas Smith","Female","17500"
"Thomas Lewis","Male","17500"
"Robert Wells MD","Male","50000"
"Robert Wells MD","Male","50000"
"Robert Wells MD","Male","50000"
"Jeremiah Wilson","Female","17500"
"Linda Curry","Female","17500"
"Linda Curry","Female","17500"
"Linda Curry","Female","17500"
"Tyler Robbins","Male","50000"
"Tyler Robbins","Male","50000"
"Stephen Boyer","Male","37500"
"Stephen Boyer","Male","37500"
"Joshua Horton","Male","17500"
"Melissa Holmes","Female","17500"
"Jill Ibarra","Female","37500"
"Jill Ibarra","Female","37500"
"Sherry Knight","Female","37500"
"Sarah Martinez","Male","17500"
"Amanda Dunn","Male","37500"
"Amanda Dunn","Male","37500"
"Amanda Dunn","Male","37500"
"Andrea Taylor","Female","17500"
"Andrea Taylor","Female","17500"
"Andrea Taylor","Female","17500"
"Andrea Taylor","Female","17500"
"Kendra Taylor","Male","37500"
"Kendra Taylor","Male","37500"
"Kendra Taylor","Male","37500"
"Rita Rodriguez","Male","50000"
"Jerry Blair","Male","17500"
"Gregory Lloyd","Female","37500"
"Gregory Lloyd","Female","37500"
"Christian Moore","Male","37500"
"Christian Moore","Male","37500"
"Christian Moore","Male","37500"
"Christian Moore","Male","37500"
"Julie Jones","Female","50000"
"Julie Jones","Female","50000"
"Alexis Johnson","Male","37500"
"Alexis Johnson","Male","37500"
"Andrea Bowman","Male","50000"
"Adrian Gordon","Male","50000"
"Wesley Pham","Female","50000"
"Ebony Jackson","Female","37500"
