"name","income"
"Christie Gomez",50000
"Phyllis Proctor",50000
"Thomas Griffin",50000
"Janet Curtis DDS",50000
"Michael Navarro",50000
"Joshua Rice",50000
"Joseph Hernandez",50000
"Gina Marks",50000
"Stephanie Thomas",50000
"Stuart Peterson",50000
"Shawn Stark",50000
"Gary Mccoy",50000
"Michelle Martin",50000
"Frank Adams",50000
"Kimberly Williams",50000
"Mark Mitchell",50000
"Roger Dorsey",50000
"Matthew Paul",50000
"Tamara Pittman",50000
"Rebecca Johnson",50000
"James Aguilar",50000
"Katherine Park",50000
"Stephanie Russell",50000
"Joanna Weaver",50000
"Brian Morris",50000
"Levi Jones",50000
"Todd Vance",50000
"Charles Meyers",50000
"Angel Young",50000
"Jacob Landry",50000
"Shannon White",50000
"Derrick Meyer",50000
"Andre Lang",50000
"Tina Burns",50000
"Daniel Cunningham",50000
"Rachel Jordan",50000
"Veronica Carter",50000
"Meredith Mitchell",50000
"Charles James",50000
"Janice Cannon",50000
"Barry Mccoy",50000
"Julie Jones",50000
"Anthony Curtis",50000
"Jeffrey Sherman",50000
"Ryan Ward",50000
"Julie Mercado",50000
"Kelly Cox",50000
"Dylan Gutierrez",50000
"William Rodriguez",50000
"Chad Howard",50000
"Sandra Bernard",50000
"Daniel Boyd",50000
"Sheila Spencer",50000
"Stephanie Gibson",50000
"Mr. Timothy Freeman",50000
"Theresa Wells",50000
"Judith Lee",50000
"Cynthia Smith",50000
"Jennifer Baker",50000
"Joshua Sawyer",50000
"Angela Freeman",50000
"Jared Myers",50000
"Alan Morris",50000
"Julia Allen",50000
"Theodore Wilson",50000
"Kaylee Johnson",50000
"Benjamin Daniels",50000
"Nicholas Banks",50000
"Lisa Miller",50000
"Vanessa Armstrong",50000
"Lisa Miranda",50000
"Nicole Gibson",50000
"Frank Travis",50000
"Miguel Barrett",50000
"Michael Bender",50000
"Vanessa Simmons",50000
"Melissa Mitchell",50000
"Samantha Jennings",50000
"Suzanne Carpenter",50000
"Jennifer Lee",50000
"Robert Wells MD",50000
"Tyler Robbins",50000
"Courtney Daniels",50000
"Rita Rodriguez",50000
"Michelle Carr",50000
"Richard Bishop",50000
"Julie Jones",50000
"Andrea Bowman",50000
"Kristen Strickland",50000
"Adrian Gordon",50000
"Wesley Pham",50000
"Kimberly Alvarez",50000
"Stacey Griffin",50000
"David West",50000
"Jonathan Baker",50000
"Julie Gomez",50000
"Robin Allen",50000
"Albert Silva",50000
"Mark Salazar",50000
"Frances Martin",50000
"Michael Sharp MD",50000
"Elijah Tran",50000
"Lauren Bridges",50000
"Cindy Martin",50000
"Heather Potter",50000
"Rachel Baldwin",50000
"Karla Walker",50000
"Michelle Jones",50000
"Christina Fry",50000
"Carmen Lam",50000
"Kelly Scott",50000
"Ryan Howell",50000
"Seth Valdez",50000
"Amber Carroll",50000
"Theresa Mcmillan",50000
"Wendy Wilson",50000
"Brittany Griffith",50000
"Jonathan Olsen",50000
"Joel Chambers",50000
"Andrew Miller",50000
"Shelly Smith",50000
"Jennifer Kennedy",50000
"Diane Smith",50000
"Mark Flynn",50000
"Lisa Cox",50000
"Kayla Marks",50000
"Zachary Page",50000
"Mario Miller",50000
"Judith Duncan",50000
"Victoria Wade",50000
"Cameron Larsen",50000
"Megan Conley",50000
"Mr. David Hughes MD",50000
"Darrell Bender",50000
"William Matthews",50000
"Brian Trujillo",50000
"Victor Ballard",50000
"Courtney Murillo",50000
"Thomas Barrett",50000
"Jennifer Hancock",50000
"Stacy Johnson",50000
"Juan Booth",50000
"Denise Martin",50000
"Dr. Diana Chavez",50000
"Thomas Johnson",50000
"Tamara Elliott",50000
"Alisha Garrison",50000
"Matthew Garcia",50000
"Russell Weeks",50000
"David Fields",50000
"Jesse Smith",50000
"Jeffrey Edwards",50000
"Tina Lozano",50000
"Elijah Leonard",50000
"Robert Long",50000
"Rachel Smith",50000
"Rebecca Jones",50000
"Kimberly Torres",50000
"John Melendez",50000
"Jennifer Baxter",50000
"Christopher Smith",50000
"Nicholas Barrett",50000
"Matthew Ashley",50000
"Kenneth Sanchez",50000
"David Mack",50000
"Courtney Hood",50000
"Phillip Miller",50000
"Marissa Jimenez",50000
"Deborah Fleming",50000
"Julia Taylor",50000
"Tyler White",50000
"Wendy Sullivan",50000
"David Castillo",50000
"Annette Wolf",50000
"Barbara Miller",50000
"Seth Stanley",50000
"Kenneth Robinson",50000
"Christine Hall",50000
"Nathan Cox",50000
"Adam Ellis",50000
"Ross Wu",50000
"Zachary Adams",50000
"Evelyn Schaefer",50000
"Michael Black",50000
"Alejandro Taylor",50000
"Mary Gray",50000
"Jon Olson",50000
"Amanda Henry",50000
"James Harris",50000
"Adam Marshall",50000
"Gregory Gibson",50000
"Kyle Jimenez",50000
"Jose Olson",50000
"David Flynn",50000
"Jose Mullen",50000
"Susan Parker",50000
"Donna Chen",50000
"William Welch",50000
"Sonia Pacheco",50000
"Matthew Novak",50000
"Katelyn White",50000
"Elizabeth Ellis",50000
"Jacob Long",50000
"Alyssa Grant",50000
"Billy Schultz",50000
"George Young",50000
"Jeremy Kennedy",50000
"Francisco Martinez",50000
"Thomas Johnson",50000
"Michael James PhD",50000
"Cynthia Jackson",50000
"Tammy Jones",50000
"Alyssa Dillon",50000
"Bryan Wilson",50000
"Joseph Lam",50000
"Michael Roman",50000
"Mary Hunter",50000
"Leonard Quinn",50000
"Daniel Warren",50000
"Sarah Gomez",50000
"John Scott",50000
"Gene Kim",50000
"John Anderson",50000
"Ralph Smith",50000
"Michael Monroe",50000
"Tanner Woods",50000
"Chad Colon",50000
"Daniel Maldonado",50000
"Wendy Orr",50000
"Samantha Atkinson",50000
"Becky Hicks",50000
"Amy Perry",50000
"Sandra Brown",50000
"Dr. Karen Ramirez",50000
"Bruce Anderson",50000
"Julia Brown",50000
"Brian Martin",50000
"Kenneth Poole",50000
"Daniel Garcia",50000
"Anthony Johnson",50000
"Daniel Jones",50000
"Sara Lambert",50000
"William Williamson",50000
"Rose Andrews",50000
"Tiffany Powers",50000
"Jessica Fisher",50000
"Charles Thomas Jr.",50000
"Chase Miller",50000
"Mary Gomez",50000
"Scott Wilson",50000
"Emily Holmes",50000
"Joshua Dawson",50000
"Dennis Spears",50000
"Marcus Green",50000
"Chris Johnson",50000
"Todd Stuart",50000
"Joshua Moore",50000
"Wendy Vasquez",50000
"Joshua Hinton",50000
"Justin Brown",50000
"Kevin Burns",50000
"Bobby Scott",50000
"Ashley Freeman",50000
"Teresa Jones",50000
"Jason Jones",50000
"Christian Ward",50000
"Evan Thompson",50000
"Adam Anderson",50000
"Jill Mitchell",50000
"Curtis Kirk",50000
"Emily Harper",50000
"George Daniel",50000
"Edward Cole",50000
"Ralph Duncan",50000
"Peter Scott",50000
"Taylor Lynn",50000
"Ashley Wilson",50000
"John Maynard",50000
"Robert Marquez",50000
"Paul Guzman",50000
"Jill Church",50000
"Mckenzie Fox",50000
"Brian Peck",50000
"Eduardo Vega",50000
"Colton Wilcox",50000
"Nicole Wilson",50000
"Jacob Lewis",50000
"Joyce Johnson",50000
"Ryan Garner",50000
"Dr. Amanda Brown",50000
"Matthew Hernandez",50000
"Donna Mason",50000
"Valerie Brennan",50000
"Bianca Hester",50000
"Craig Henderson",50000
"John Davidson",50000
"Sharon Hamilton",50000
"Brian Le",50000
"Matthew Salas",50000
"Ruth Caldwell MD",50000
"Michael Bryant",50000
"Kimberly Torres",50000
"Brittany Wright",50000
"Tyler Levine",50000
"Eric Wilson",50000
"Jesse Rodriguez",50000
"Tiffany Hunter",50000
"Regina Rodriguez",50000
"Brandon Jones",50000
"Denise King",50000
"Sheryl Clayton",50000
"Andrew Smith",50000
"Elizabeth Jones",50000
"Elaine Smith",50000
"Robert Kim",50000
"Lisa Johnson",50000
"Jason Campbell",50000
"Deborah Brooks",50000
"Leah Russell",50000
"Carolyn Frank",50000
"Brittany Becker",50000
"Daniel Cross",50000
"James Sullivan",50000
"Vincent Maldonado",50000
"Johnny Callahan",50000
"Christopher Morgan",50000
"Tommy Gallegos",50000
"Amy Levine",50000
"Michael Gill",50000
"Jason Lewis",50000
"Noah Ortega",50000
"Nancy Mcgrath",50000
"James Butler",50000
"Morgan Aguilar",50000
"Dr. Ian Baker",50000
"Leah Parker",50000
"Mark Parks",50000
"Eric Harvey",50000
"Brian Meyer",50000
"Matthew Pratt",50000
"Lawrence Rose",50000
"Joel Larsen",50000
"Robert Castro",50000
"Mark Branch",50000
"Katherine Smith",50000
"Cynthia Miles",50000
"Dakota Knox",50000
"Natalie Harvey",50000
"Charles Harris",50000
"Joshua Phillips",50000
"Adam Meyers",50000
"Jordan Sanchez",50000
"Mark Austin",50000
"David Bell",50000
"Brandon Mendoza",50000
"Alicia Harris",50000
"Susan Knapp",50000
"Richard Mays",50000
"Ryan King",50000
"April Gomez",50000
"Robert Robinson",50000
"Adrian Leblanc",50000
"Nancy Foster",50000
"Yesenia Huff",50000
"Christy Campbell",50000
"Erik Raymond",50000
"Roberto Sullivan",50000
"Elijah Juarez",50000
"Donald Baker",50000
"Colleen Nguyen",50000
"Amanda Bernard",50000
"Katelyn Cooper",50000
"Monique Erickson",50000
"Carol Gregory",50000
"Kevin Reed",50000
"James Roman",50000
"Matthew Grimes",50000
"Stephanie Martinez",50000
"Anthony Howard",50000
"Sarah Terrell",50000
"Mr. Ian Shields",50000
"Dawn Brown",50000
"Andre Guerrero",50000
"Denise Williams",50000
"Christine Reyes",50000
"Justin Roman",50000
"Jacob Robles",50000
"Melissa Gibson",50000
"Sheri Johnson",50000
"Patrick Smith",50000
"Anna Cunningham",50000
"Sara Holmes",50000
"John Harris",50000
"Stephen Taylor",50000
"Sheila Mccarthy",50000
"Michael Clay",50000
"Abigail Carroll",50000
"Jennifer Evans",50000
"Nicholas Whitaker",50000
"Christopher Black",50000
"Samuel Allen",50000
"David Maldonado",50000
"Austin Nelson",50000
"Natalie Sullivan",50000
"Julie Vaughn",50000
"Michael Shepard",50000
"Anthony Hill",50000
"Emily Smith",50000
"Brandon Brown",50000
"Kimberly Mosley",50000
"Ernest Meadows",50000
"Ashley Quinn",50000
"Amanda Franklin",50000
"John Nielsen",50000
"Stacy Townsend",50000
"Nicole Perez DDS",50000
"Charles Washington",50000
"Angelica Walker",50000
"Brian Johnson",50000
"Angela Campbell",50000
"Michael George",50000
"Destiny Hoover",50000
"Manuel Miles",50000
"Steven Wilson",50000
"Heather Edwards",50000
"Christopher Hull",50000
"Thomas Wagner",50000
"David Arroyo",50000
"Brittany Robles",50000
"Vanessa Jones",50000
"Lauren Harris",50000
"Paul Martin",50000
"Elizabeth Rios",50000
"Danielle Clarke",50000
"Jose Davidson",50000
"Taylor Anderson",50000
"Victoria Paul",50000
"Belinda Castro",50000
"Lori George",50000
"Angel Gregory",50000
"Brian Patel",50000
"Monica Moreno",50000
"Eric Lambert",50000
"Dana Todd",50000
"Heidi Ferguson",50000
"Jacob Thomas",50000
"Maria Jackson",50000
"David Hansen",50000
"Steven Smith",50000
"Jessica Simmons",50000
"Dr. Kathleen Clark",50000
"Bruce Brown",50000
"Richard Gonzales",50000
"Dennis Sparks",50000
"Alexandria Griffin",50000
"Misty Gomez",50000
"Brooke Nelson",50000
"Karen Fuentes",50000
"Vanessa Harris",50000
"Mark Johnson",50000
"Gail Pittman",50000
"Jeanette Alvarado",50000
"Sheila Johnson",50000
"Andrea Hughes",50000
"Kevin Cox",50000
"Lori Williams",50000
"Julie Smith",50000
"Brandon Pineda",50000
"Matthew Gomez",50000
"William Love",50000
"Melanie Stark",50000
"William Cruz",50000
"Betty Harper",50000
"Theresa Walker",50000
"Tina Carrillo",50000
"Mrs. Amy Ford",50000
"Desiree Larson",50000
"Megan Skinner",50000
"Kaitlyn Lee",50000
"Beth Wright",50000
"Cheryl Byrd",50000
"Michael Dawson",50000
"Ashley Gilbert",50000
"Catherine Livingston",50000
"John Romero",50000
"Melissa Johnson",50000
"Noah Thompson",50000
"Alicia Dudley",50000
"Jennifer Williamson",50000
"Amber Wheeler",50000
"Nicholas Cooper",50000
"Anthony Mendoza",50000
"William Grant",50000
"James Richardson",50000
"David Bell",50000
"Matthew Nguyen",50000
"Stephen Tucker",50000
"Ethan Bailey",50000
"Natalie Young",50000
"Dr. Desiree Hall DDS",50000
"Tim Morris",50000
"Steven Gonzalez",50000
"Jorge Kennedy",50000
"Kimberly Roberts",50000
"Jason Smith",50000
"Michael Woodward",50000
"Emily Richardson",50000
"Jordan Miller",50000
"Curtis Ortiz",50000
"Brad Jones",50000
"John Fisher",50000
"Danielle Carson",50000
"Alexis Hart",50000
"Kimberly Simpson",50000
"Andre Carter",50000
"Jamie Boyer",50000
"Alan Baker",50000
"Howard Wood",50000
"Kimberly Welch",50000
"Jeffrey Mcneil",50000
"Monica Mccullough",50000
"James Mosley",50000
"Dennis Hanna",50000
"Douglas Tanner",50000
"Christopher Johnson",50000
"Martha Turner",50000
"Kyle Cantrell",50000
"Amanda Gardner",50000
"Cassandra Choi",50000
"Christopher Perez",50000
"Wendy Jefferson",50000
"Crystal Hernandez",50000
"Katie Mcfarland",50000
"Madison Peck",50000
"John Estrada",50000
"John Walters",50000
"Theresa Allen DDS",50000
"Don Johnson",50000
"Lauren Duncan",50000
"Ashley Mann",50000
"Erik Mendez",50000
"Laurie Velasquez",50000
"Austin Pacheco",50000
"Briana Hunt",50000
"Lisa Hill",50000
"Lisa Walsh",50000
"Joe Jones",50000
"William Bautista",50000
"Jeffrey Marshall",50000
"Kevin Ponce",50000
"Whitney Jones",50000
"Jennifer Best",50000
"Melanie Martinez",50000
"Ronald Washington",50000
"Jacqueline Williams",50000
"Michael Flores",50000
"Cheryl Foster",50000
"Patricia Hess",50000
"Wendy Moore",50000
"Valerie Williams",50000
"Erin Sanchez",50000
"Benjamin Smith DDS",50000
"Denise Lynch",50000
"Lauren Perry",50000
"Carmen Cooper",50000
"Carrie Clark",50000
"Megan Mcgrath",50000
"Neil King",50000
"Steven Barber",50000
"Anthony Ward",50000
"Randall Wright",50000
"Teresa Steele",50000
"Virginia Hall",50000
"Jonathon Cole",50000
"Andrea Tate",50000
"Ashley Bender",50000
"Johnny Fuentes",50000
"Jerry Kelley",50000
"Timothy Pratt",50000
"Erica Benjamin",50000
"Andres Decker",50000
"Leslie Harper",50000
"Ashley Wilson",50000
"Sydney Weber",50000
"Jeremy Martin",50000
"Tiffany Smith",50000
"Joshua Moore",50000
"Thomas Barton",50000
"Kevin Yang",50000
"Lori Wood",50000
"Lisa Swanson",50000
"Benjamin Parker",50000
"Stacy Bullock",50000
"Erika Clements",50000
"Sonya Santiago",50000
"Emily Alvarez",50000
"Adriana Wilkerson",50000
"Frank West",50000
"Emily Sullivan",50000
"David White",50000
"Teresa Nelson",50000
"Christina Conrad",50000
"Melinda Gordon",50000
"Ashley Dougherty",50000
"Raymond Young",50000
"Ann Anderson",50000
"Melissa Thomas",50000
"Steven Alvarez",50000
"Robert Jenkins",50000
"Ian Hart",50000
"Cheryl Page",50000
"Christopher Walker",50000
"Patrick Simmons",50000
"Jennifer Moon",50000
"Jennifer Flores",50000
"Michael Dunlap",50000
"Thomas Carr",50000
"Michael Hernandez",50000
"Reginald Fox",50000
"Lawrence Nichols",50000
"Jeffrey Ortiz",50000
"Bryan Haley",50000
"Allen Evans",50000
"Douglas Wood",50000
"Daniel Gardner",50000
"Christian Mcmillan",50000
"Christine Pena",50000
"Karen Lloyd",50000
"Mrs. Amber Bridges",50000
"Valerie Gay",50000
"Ryan Waters",50000
"John Hansen",50000
"Melissa Peterson",50000
"Tyler Delgado",50000
"Theresa Baker",50000
"Steven Bass",50000
"Christopher Petersen",50000
"Shirley Meza DDS",50000
"Pamela Bradford",50000
"Frank Anderson",50000
"Laura Levine",50000
"Elizabeth Jones",50000
"Richard Brewer",50000
"Paul Bennett",50000
"Steven Donaldson",50000
"Samuel Garza",50000
"Breanna Harvey",50000
"Cheryl Porter",50000
"Monique Snow",50000
"Molly Miller",50000
"Kristina Freeman",50000
"Lisa Estrada",50000
"Ann Blankenship",50000
"Phillip Bryan",50000
"Sandra Peterson",50000
"Frank Hall",50000
"Lisa Henderson",50000
"Kim Hill",50000
"Candace Smith",50000
"Ms. Taylor Turner MD",50000
"Alexis Powers",50000
"Nancy Robinson",50000
"Robert Kim",50000
"Richard Hoffman",50000
"Kevin Blackwell",50000
"Lisa Steele",50000
"Derrick Keller",50000
"Laura White",50000
"Morgan Johnson",50000
"Brenda Leonard",50000
"Daniel Murphy",50000
"Brenda Medina",50000
"Jason Hutchinson",50000
"Elizabeth Hamilton",50000
"Evan Davis",50000
"Mrs. Melissa Clayton",50000
"Melissa Holt",50000
"Elizabeth Clark",50000
"John Olson",50000
"Walter Roberts",50000
"Jessica Neal",50000
"Christy Miranda",50000
"Tiffany Griffin",50000
"Patty Love",50000
"Bradley Soto",50000
"Taylor Chen",50000
"Don Dougherty",50000
"William Walker",50000
"Ms. Catherine Johnson",50000
"Karen Johnson",50000
"Teresa Shelton",50000
"Elizabeth Lewis",50000
"Patrick Chan",50000
"Vanessa Gill",50000
"Gerald Diaz",50000
"Stephanie Walton",50000
"Christopher Smith",50000
"Jamie Carter",50000
"Andrew Jones",50000
"Kenneth Cobb",50000
"James Klein",50000
"Melissa Rosario",50000
"Mr. Thomas Logan",50000
"Gary Moreno",50000
"Michael Mitchell",50000
"Carrie Anderson",50000
"Laura Alexander",50000
"Matthew Johnson",50000
"Joel Mccoy",50000
"Sarah Davis",50000
"Annette Moore",50000
"James Dawson",50000
"Bryan Grimes",50000
"Judith Rodriguez",50000
"Sarah Miller",50000
"Christopher Weber",50000
"Jeffrey Silva",50000
"Phillip Gibbs",50000
"Shannon Martin",50000
"Ashlee Jones",50000
"Kimberly Brooks",50000
"Brian Thomas",50000
"Robin Sanchez",50000
"Maria Price",50000
"Susan Burton",50000
"Barbara Gonzalez",50000
"Jerry Fields",50000
"Karen Branch",50000
"Daniel Webb",50000
"Joseph Ferguson",50000
"Kelli Scott",50000
"Steven Browning",50000
"James Palmer",50000
"Micheal Pratt",50000
"Darlene English",50000
"Michele Jones",50000
"Barbara Bryant",50000
"Todd Higgins",50000
"Shawn Rogers",50000
"Jonathan Quinn",50000
"Donald Anderson",50000
"Christopher Brown",50000
"Sarah Day",50000
"Dr. Charles Martin",50000
"John Padilla",50000
"David Lewis",50000
"David Wood",50000
"Erika Meyer",50000
"Rachel Thompson",50000
"Heidi Stephenson",50000
"Mathew Lynch MD",50000
"Andrew Osborne",50000
"Shannon Castro",50000
"Jonathan Fry",50000
"Christine Hester",50000
"Jenna Lopez",50000
"Steven Liu",50000
"Gail Marquez",50000
"Paul Carter",50000
"Stephen Hartman",50000
"Denise Crawford",50000
"Harold Gonzalez",50000
"Elizabeth Suarez",50000
"Maria Scott",50000
"Brandy Kramer",50000
"Heather Diaz",50000
"Ashley Wilson",50000
"Jessica Mack",50000
"Bradley Roberts",50000
"Ana Erickson",50000
"Stephanie Brooks",50000
"Laura Frank",50000
"Michael Horne",50000
"Chris Fields",50000
"Brittany White",50000
"Sheryl Gross",50000
"Richard Irwin",50000
"Madeline Sims",50000
"Larry Daniels",50000
"Victoria Moore",50000
"Kevin Mckinney",50000
"Matthew Dunn",50000
"James Gould",50000
"Kevin Sanders",50000
"Sierra Rodriguez",50000
"Kevin Lutz",50000
"Eric Moss",50000
"Shannon Guerrero",50000
"Jessica Price",50000
"John Weiss",50000
"Victor Vargas",50000
"Kimberly Hansen",50000
"Rachel Gilbert",50000
"Stephen Williams",50000
"Sharon Walker",50000
"Lynn Rice",50000
"Rachel Butler",50000
"Shelby Barrett",50000
"Veronica Le",50000
"Veronica Sanchez",50000
"Nicole Roth",50000
"Angela Lewis",50000
"Nicole Morales",50000
"Dr. Kiara Downs",50000
"Jamie Blankenship",50000
"Patricia Carter",50000
"Amanda Nguyen",50000
"Andrea Clark",50000
"Gregory Parsons",50000
"Taylor Hensley",50000
"Wesley Schneider",50000
"Tammy Mathews",50000
"Donna Alexander",50000
"Kimberly Baker",50000
"Sean Rios",50000
"Joseph Pierce",50000
"Patrick Taylor",50000
"John Fox",50000
"Rita Smith",50000
"Angela Marquez",50000
"John Thomas",50000
"Natasha Mcguire",50000
"Jordan Garcia",50000
"Andrew Sims",50000
"Peter Kirk",50000
"Carrie Henderson",50000
"Nicholas Dixon",50000
"Meagan Smith",50000
"Kayla Bruce",50000
"Dr. Jeffrey Moore",50000
"Mrs. Joann Stevenson",50000
"Michael Warren",50000
"Tracy Riley",50000
"Amanda Rice",50000
"Brent Matthews",50000
"Eric Campbell",50000
"Isaac Reyes",50000
"Mary Dean",50000
"Betty Anthony",50000
"Michael Hernandez",50000
"David Harris",50000
"Katherine Lawson",50000
"Dalton Cameron",50000
"Keith Martin",50000
"Cassie Gregory",50000
"Juan Myers",50000
"Joshua Randolph",50000
"Alexandra Murphy",50000
"Shannon Rasmussen",50000
"Kathryn Robinson",50000
"Jessica George",50000
"Joe Maldonado",50000
"Christina Porter",50000
"Richard Roy",50000
"Richard Rogers",50000
"Jamie Carson",50000
"Rebecca Flores",50000
"Pamela Wilson",50000
"Paul Johnson",50000
"Jordan Stephens",50000
"Stephen Richardson",50000
"Miss Victoria Johnston MD",50000
"Madeline Velazquez",50000
"Kari Roberts",50000
"Rachel Sanchez",50000
"Kathleen Chan",50000
"Jeffery Chavez",50000
"Amanda Miller",50000
"Karen Johnson",50000
"Jose Solomon",50000
"Colleen Alexander",50000
"Alison Guzman",50000
"Mary Cooke",50000
"David Fuller",50000
"Jorge Reyes",50000
"Colton Schwartz",50000
"Colleen Keller",50000
"Ronald Burgess",50000
"Francis Mendez",50000
"Chase Wolf",50000
"Shawn Mercer",50000
"Bailey Bowen",50000
"John Burns",50000
"John Carlson",50000
"John Washington",50000
"Jonathan Mooney",50000
"Gary Woods",50000
"Jonathan Aguilar",50000
"Keith Mckee",50000
"Matthew Jones",50000
"Luke Palmer",50000
"Timothy Higgins",50000
"Mark Glass",50000
"Tony Hull",50000
"Sierra Goodman",50000
"David King",50000
"Brianna Williams",50000
"Brenda Bauer",50000
"Tracie Hines",50000
"Kristen Ryan",50000
"Katelyn Mcmahon",50000
"Richard Hudson",50000
"Sara Jenkins",50000
"Michelle Morris",50000
"Sergio Thornton",50000
"Timothy Mendoza",50000
"Robert Mueller",50000
"Franklin Morton",50000
"Louis Santos",50000
"Leslie Aguirre",50000
"Alan Beasley",50000
"Lawrence Adams",50000
"Nicholas Nelson",50000
"Jennifer Harris",50000
"Kevin Leon",50000
"Elaine Hobbs",50000
"Joshua Murray",50000
"Aaron Davis",50000
"John Ryan",50000
"Yolanda Johnson",50000
"Robert Hardy",50000
"Katherine Williams",50000
"Lori Graves",50000
"Joanna Cordova",50000
"Erin Parks",50000
"John Yoder",50000
"Michelle Gonzalez",50000
"Andrea Morgan",50000
"Mary Whitaker",50000
"Sandra Ortiz",50000
"Daisy Werner",50000
"Peter Brown",50000
"Jeffrey Orr",50000
"Michael Vang",50000
"Crystal Salinas",50000
"Alexa Nelson",50000
"Jason Lee",50000
"Mr. Michael Sampson",50000
"Brandon Howe",50000
"Joshua Vazquez",50000
"Steven Harris",50000
"Gabrielle Young",50000
"Brittany Russell",50000
"Carolyn Long",50000
"Christopher Whitaker",50000
"Michael Costa",50000
"Patrick Hernandez",50000
"Tiffany Vazquez",50000
"Sally Richardson",50000
"Daniel Barry",50000
"Rachael Carney",50000
"Jeffrey Patel",50000
"Zachary Gordon",50000
"Thomas Wang",50000
"Maria Hughes",50000
"David Brandt",50000
"Nancy Beltran",50000
"Alicia Jackson",50000
"Ricky Richard",50000
"Jennifer Fleming",50000
"Michael Dalton",50000
"Aaron Cole",50000
"Carlos Jackson",50000
"Bobby Davis",50000
"Tiffany Johnson",50000
"Courtney Daniel",50000
"Elizabeth Wiggins",50000
"Erica Roberts",50000
"Jeremy Ortiz",50000
"Michael Lewis",50000
"Rebecca Anderson",50000
"Mary Macias",50000
"Melissa Smith",50000
"Travis Grant",50000
"Anthony Schroeder",50000
"David Cummings",50000
"David Andrade",50000
"Nathaniel Boyd",50000
"Julie Davis",50000
"Kristina Taylor",50000
"Shawna Gonzalez MD",50000
"Robert Ward",50000
"Kathryn Cruz",50000
"Kara Myers DDS",50000
"Tracy Mora",50000
"Alejandro Coleman",50000
"William Hall MD",50000
"Roberto Erickson",50000
"Christine Alvarez",50000
"Dennis Webb",50000
"Aaron White",50000
"Kevin Shepherd",50000
"Daniel Johnson",50000
"Brian Thompson",50000
"Sandra Hines",50000
"Haley Bailey",50000
"Judith Moss",50000
"Heather Barrera",50000
"Sara Hampton",50000
"Mark Wagner",50000
"Steven Garcia",50000
"Jason Ford",50000
"Lisa Wilson",50000
"Ms. Kathryn May",50000
"Michael Smith",50000
"Samuel Hanson",50000
"Craig Page",50000
"Dalton Tucker",50000
"Megan Mclean",50000
"Kyle Haynes",50000
"Derrick Gray",50000
"Denise Le",50000
"Christopher Schaefer",50000
"Jennifer Rubio",50000
"Michelle Murphy",50000
"Judith Galloway",50000
"Michelle Richardson",50000
"Alyssa Powell",50000
"Joseph Taylor Jr.",50000
